Tag,Gene_Name,Gene_Symbol,PDNDvControl_FC,PDNDvControl_pval,PDDvPDND_FC,PDDvPDND_pval,PDDvControl_FC,PDDvControl_pval,Avg_PDD,Avg_PDND,Avg_Control
224524_s_at,ankyrin repeat and SOCS box-containing 3,ASB3,0.898865118,0.327629073,0.611259113,0.003616777,0.549439495,5.09691E-05,351.1153846,574.4133333,639.0428571
203039_s_at,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",NDUFS1,1.039968029,0.801060185,0.611299112,0.009652377,0.635731532,0.007434615,231.0384615,377.9466667,363.4214286
226934_at,"cleavage and polyadenylation specific factor 6, 68kDa",CPSF6,1.087991741,0.594802707,0.611466046,0.006994978,0.665270007,0.007153811,177.9692308,291.0533333,267.5142857
217965_s_at,transcriptional regulator protein,HCNGP,0.945664184,0.677483128,0.61227979,0.002800095,0.579011068,0.003369952,68.86923077,112.48,118.9428571
213154_s_at,coiled-coil protein BICD2,BICD2,1.165246345,0.122273435,0.613169595,0.000340844,0.714493629,0.002148935,588.5692308,959.88,823.7571429
212104_s_at,RNA binding motif protein 9,RBM9,0.819081919,0.060663305,0.613238939,0.001970455,0.502292927,3.34521E-07,1123.715385,1832.426667,2237.171429
200858_s_at,ribosomal protein S8,RPS8,1.040962701,0.726740144,0.614298803,0.00043084,0.639462141,0.00089665,1125.407692,1832.02,1759.928571
208694_at,"protein kinase, DNA-activated, catalytic polypeptide",PRKDC,0.760910427,0.092366707,0.61467242,0.008995246,0.467710653,0.000170743,105.3384615,171.3733333,225.2214286
212301_at,KIAA0252 protein,KIAA0252,0.843737124,0.238822271,0.615014206,0.004215634,0.518910317,0.000255447,292.0538462,474.8733333,562.8214286
235727_at,"Homo sapiens BTB (POZ) domain containing 5, mRNA (cDNA clone MGC:71647 IMAGE:5295395), complete cds",---,0.943536861,0.651967338,0.615418539,0.006404075,0.580670076,0.000113945,427.9538462,695.3866667,737
212708_at,hypothetical protein LOC339287,LOC339287,0.979045916,0.874933035,0.61576017,0.000435511,0.602857479,0.002420204,317.8307692,516.16,527.2071429
203048_s_at,KIAA0372 gene product,KIAA0372,1.097772189,0.457880453,0.61660654,0.001432474,0.676893511,0.007322968,407.5769231,661,602.1285714
201446_s_at,TIA1 cytotoxic granule-associated RNA binding protein,TIA1,1.064187815,0.613800562,0.616875736,0.00318912,0.656471642,0.001146524,199,322.5933333,303.1357143
221782_at,ER-resident protein ERdj5,ERdj5,0.69025595,0.007599761,0.617766569,0.00689443,0.426417049,3.37428E-06,67.83076923,109.8,159.0714286
212030_at,S164 protein,S164,0.831089446,0.103858449,0.620225878,0.001890768,0.515463181,5.32241E-06,222.0615385,358.0333333,430.8
221952_x_at,KIAA1393 protein,KIAA1393,0.942057446,0.626785769,0.620234001,0.002252558,0.584296059,5.53612E-05,238.8769231,385.14,408.8285714
218147_s_at,glycosyltransferase AD-017,AD-017,0.932770185,0.609917019,0.621627952,0.006658519,0.57983602,0.003614765,157.8769231,253.9733333,272.2785714
203341_at,CCAAT-box-binding transcription factor,CBF2,0.874567149,0.254842172,0.621680972,0.000965822,0.543701755,9.16642E-05,231.8538462,372.9466667,426.4357143
214435_x_at,v-ral simian leukemia viral oncogene homolog A (ras related),RALA,1.054178224,0.640786222,0.621931484,0.000952197,0.655626627,0.007105948,151.9461538,244.3133333,231.7571429
201711_x_at,RAN binding protein 2,RANBP2,0.917872711,0.46592613,0.622377622,0.000299571,0.571263436,0.000634462,257.4153846,413.6,450.6071429
209265_s_at,methyltransferase like 3,METTL3,1.070903191,0.600955588,0.62388069,0.005012877,0.668115821,0.005379984,494.1384615,792.04,739.6
203831_at,KIAA1002 protein,KIAA1002,1.019567034,0.857010726,0.623900566,0.000484595,0.63610845,0.000143828,456.7076923,732.02,717.9714286
209678_s_at,"protein kinase C, iota",PRKCI,1.065348442,0.549166094,0.625904843,0.000821277,0.666806749,2.34384E-05,270.2615385,431.7933333,405.3071429
219557_s_at,nuclear receptor interacting protein 3,NRIP3,1.000724131,0.995798104,0.626065319,0.001464071,0.626518673,0.004284236,428.8923077,685.06,684.5642857
219212_at,"likely ortholog of mouse heat shock protein, 70 kDa 4",HSP70-4,0.79998887,0.1150786,0.626521718,0.002010534,0.501210401,0.00084275,343.1,547.6266667,684.5428571
216194_s_at,cytoskeleton-associated protein 1,CKAP1,1.042981117,0.75610283,0.626524294,0.00218087,0.653453008,0.00316278,626.9461538,1000.673333,959.4357143
225049_at,hypothetical protein MGC10120,MGC10120,1.016679486,0.899877237,0.626560977,0.001300932,0.637011693,0.00514958,615.2076923,981.88,965.7714286
204500_s_at,ATP/GTP binding protein 1,AGTPBP1,0.903068934,0.290533101,0.626599975,0.001731658,0.565862971,1.4755E-05,465.4384615,742.8,822.5285714
203203_s_at,HIV-1 rev binding protein 2,HRB2,0.846107404,0.159767128,0.626778487,0.00363648,0.530321918,6.37574E-05,111.2615385,177.5133333,209.8
208032_s_at,"glutamate receptor, ionotrophic, AMPA 3",GRIA3,0.639406931,0.002219826,0.629134234,0.007384735,0.40227279,3.65889E-06,225.1923077,357.94,559.8
206555_s_at,hypothetical protein FLJ20274,FLJ20274,0.887267944,0.375732307,0.629326442,0.007717838,0.558381178,0.000421022,687.2076923,1091.973333,1230.714286
223154_at,mitochondrial ribosomal protein L1,MRPL1,1.036336214,0.771302928,0.632275021,0.001714249,0.655249501,0.000327763,161.3692308,255.22,246.2714286
223136_at,androgen-induced 1,AIG1,1.002503875,0.9809141,0.632374914,0.000778512,0.633958302,0.000268835,603.8,954.8133333,952.4285714
205079_s_at,multiple PDZ domain protein,MPDZ,0.912442868,0.46119137,0.632708448,0.001398797,0.577310311,0.000631752,301.0384615,475.7933333,521.45
202412_s_at,ubiquitin specific protease 1,USP1,0.845125487,0.230181986,0.633021616,0.002725786,0.534982701,0.001335042,92.26923077,145.76,172.4714286
218048_at,BUP protein,BUP,1.014471373,0.898255799,0.633412879,0.001260798,0.642579233,0.003218374,453,715.1733333,704.9714286
1558170_at,---,---,0.687473693,0.031303223,0.633808853,0.006429606,0.435726913,0.000171929,1035.2,1633.3,2375.8
200616_s_at,KIAA0152 gene product,KIAA0152,0.958121113,0.656745028,0.633819467,0.00367214,0.607275813,0.002315913,540.2846154,852.4266667,889.6857143
202276_at,split hand/foot malformation (ectrodactyly) type 1,SHFM1,0.883663813,0.284995067,0.634593508,0.005769642,0.560767319,0.000118267,145.0384615,228.5533333,258.6428571
209608_s_at,acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase),ACAT2,1.067688314,0.566732774,0.635204534,0.001887691,0.678200458,0.000665742,154.2615385,242.8533333,227.4571429
213329_at,formin binding protein 2,FNBP2,1.018347,0.881241406,0.636409009,0.008690926,0.648085205,0.001536839,78.46923077,123.3,121.0785714
217850_at,nucleostemin,NS,1.064062144,0.645983275,0.638910789,0.009059569,0.679840784,0.001204188,220.2538462,344.7333333,323.9785714
201593_s_at,"likely ortholog of mouse immediate early response, erythropoietin 4",LEREPO4,0.965655233,0.750121029,0.639168669,0.003669281,0.61721657,1.02126E-05,641.6230769,1003.84,1039.542857
222716_s_at,sorting nexing 24,SNX24,0.870369272,0.201942415,0.639636628,0.001077899,0.556720066,5.27631E-05,201.1230769,314.4333333,361.2642857
236151_at,hypothetical protein LOC144747,LOC144747,1.06463279,0.611664101,0.639925017,0.004202655,0.681285156,0.002382685,357.3,558.3466667,524.45
229725_at,"fatty-acid-Coenzyme A ligase, long-chain 6",FACL6,1.000692227,0.995761664,0.63997552,0.004086358,0.640418528,0.002869981,454.2076923,709.7266667,709.2357143
209226_s_at,karyopherin (importin) beta 2,KPNB2,1.178231602,0.146558186,0.64024644,0.002137262,0.754358589,0.006362347,236.6692308,369.6533333,313.7357143
209920_at,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",BMPR2,0.791687559,0.1123662,0.641151951,0.008593678,0.507592024,0.000310622,65.07692308,101.5,128.2071429
223546_x_at,LUC7-like (S. cerevisiae),LUC7L,0.653092143,0.049180256,0.641426824,0.005553446,0.418910819,0.002267833,303.3692308,472.96,724.1857143
218263_s_at,transposon-derived Buster1 transposase-like protein,LOC58486,0.958572101,0.649675237,0.64208029,0.001800487,0.615480253,0.000716425,622.3384615,969.2533333,1011.142857
220099_s_at,LUC7-like 2 (S. cerevisiae),LUC7L2,1.096413517,0.326870973,0.644153561,0.000308445,0.706258671,0.008350095,292.0076923,453.32,413.4571429
226277_at,"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein",COL4A3BP,1.120378598,0.390303818,0.644173591,0.003567147,0.721718305,0.009147071,587.1384615,911.46,813.5285714
209030_s_at,"immunoglobulin superfamily, member 4",IGSF4,1.030319807,0.77754747,0.644655119,0.000892475,0.664200938,0.000610729,342.7846154,531.7333333,516.0857143
211727_s_at,"COX11 homolog, cytochrome c oxidase assembly protein (yeast)",COX11,1.034250141,0.78792976,0.644993467,0.006509507,0.667084585,0.005257226,294.6846154,456.88,441.75
200942_s_at,heat shock factor binding protein 1,HSBP1,1.023889395,0.834646559,0.645481547,0.000819749,0.66090171,0.002243352,160.7076923,248.9733333,243.1642857
233080_s_at,formin binding protein 3,FNBP3,0.617942495,0.02847292,0.646591211,0.003858867,0.399556186,0.001512777,269.2923077,416.48,673.9785714
212061_at,U2-associated SR140 protein,SR140,1.102202221,0.415029775,0.647156154,0.004133342,0.713296951,0.003958843,187.9384615,290.4066667,263.4785714
235757_at,Homo sapiens transcribed sequences,---,1.016548293,0.89481736,0.647353143,0.005559693,0.658065733,0.006802186,130.3769231,201.4,198.1214286
212204_at,DKFZP564G2022 protein,DKFZP564G2022,1.12078663,0.298101358,0.648248128,0.001166171,0.726547834,0.005208367,300.4846154,463.5333333,413.5785714
226291_at,amyotrophic lateral sclerosis 2 (juvenile),ALS2,1.175322409,0.092316823,0.648353138,0.00043967,0.762023972,0.009152687,287,442.66,376.6285714
217874_at,"succinate-CoA ligase, GDP-forming, alpha subunit",SUCLG1,0.864924043,0.191141204,0.649946313,0.007839648,0.562154193,7.4193E-05,1347.507692,2073.26,2397.042857
221580_s_at,hypothetical protein MGC5306,MGC5306,0.934596026,0.483547045,0.652246287,0.002307316,0.609586788,8.22645E-05,379.7769231,582.26,623.0071429
201917_s_at,hypothetical protein FLJ10618,FLJ10618,0.633780362,0.007040473,0.652986565,0.004959666,0.413850062,6.96761E-05,1190.507692,1823.173333,2876.664286
203491_s_at,translokin,KIAA0092,0.768660014,0.061534307,0.653838007,0.007442026,0.502579132,0.000267014,102.8923077,157.3666667,204.7285714
213140_s_at,synovial sarcoma translocation gene on chromosome 18-like 1,SS18L1,1.003040506,0.977558129,0.654012907,0.007218098,0.656001437,0.000658176,413.3230769,631.98,630.0642857
226758_at,LUC7-like 2 (S. cerevisiae),LUC7L2,0.921692546,0.495344084,0.655557729,0.002126138,0.604222672,0.002757342,206.2384615,314.6,341.3285714
200888_s_at,ribosomal protein L23,RPL23,0.922095727,0.503639233,0.655653443,0.007747036,0.604575238,1.02442E-05,638.7769231,974.26,1056.571429
208734_x_at,"RAB2, member RAS oncogene family",RAB2,0.80866375,0.143137485,0.655804279,0.007504171,0.530325148,0.000829178,350.7153846,534.7866667,661.3214286
209688_s_at,hypothetical protein MGC13033,MGC13033,0.95414517,0.609917618,0.65678369,0.000275241,0.626666986,5.11427E-05,387.8307692,590.5,618.8785714
222122_s_at,THO complex 2,THOC2,0.98790384,0.885673739,0.657960221,0.001387525,0.65000143,0.000101793,412.2076923,626.4933333,634.1642857
229582_at,hypothetical protein LOC125476,LOC125476,0.948191208,0.607159922,0.659344986,0.00035178,0.625185118,0.001146097,167.4692308,253.9933333,267.8714286
202651_at,KIAA0205 gene product,KIAA0205,0.863363146,0.202143975,0.659882152,0.002678542,0.56971793,4.3769E-05,235.6923077,357.1733333,413.7
224933_s_at,thyroid hormone receptor interactor 8,TRIP8,0.898245532,0.314034803,0.660713702,0.002103663,0.593483131,0.000277006,362.7538462,549.0333333,611.2285714
224326_s_at,ring finger protein 134,RNF134,0.960414565,0.716634034,0.661089574,0.007649509,0.634920055,0.002842405,76.43076923,115.6133333,120.3785714
218336_at,prefoldin 2,PFDN2,0.952131343,0.716423484,0.662975799,0.00125209,0.631240038,0.00518134,535.7153846,808.0466667,848.6714286
236587_at,Homo sapiens transcribed sequences,---,0.925626263,0.513778864,0.663102366,0.003138845,0.613784965,0.000885745,231.4846154,349.0933333,377.1428571
212240_s_at,"phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)",PIK3R1,0.973317074,0.818169853,0.663219286,0.003609422,0.645522655,0.000276275,956.6230769,1442.393333,1481.935714
212378_at,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",GART,0.848177265,0.083704164,0.663959244,0.001554671,0.563155136,0.00027547,92.1,138.7133333,163.5428571
226574_at,paraspeckle component 1,PSPC1,0.935272693,0.448356695,0.664897764,0.000403707,0.621860722,0.000175752,190.2538462,286.14,305.9428571
207168_s_at,"H2A histone family, member Y",H2AFY,1.019242957,0.861335981,0.665078358,0.003445399,0.677876432,0.002270763,1186.269231,1783.653333,1749.978571
227245_at,hypothetical protein FLJ13089,FLJ13089,1.073000517,0.479906489,0.66782783,0.003361862,0.716579606,0.002344085,165.0692308,247.1733333,230.3571429
208974_x_at,karyopherin (importin) beta 1,KPNB1,1.044621183,0.673640635,0.667870674,0.002133454,0.697671854,0.000721523,1453.046154,2175.64,2082.707143
224318_s_at,hypothetical protein FLJ10081,FLJ10081,0.95679967,0.640235276,0.669560262,0.000429372,0.640635038,0.000220591,828.4692308,1237.333333,1293.2
225905_s_at,"sialyltransferase 6 (N-acetyllacosaminide alpha 2,3-sialyltransferase)",SIAT6,1.05504785,0.602822855,0.669998487,0.003410621,0.706880463,0.008947478,99.89230769,149.0933333,141.3142857
209236_at,"solute carrier family 23 (nucleobase transporters), member 2",SLC23A2,1.008101872,0.935024665,0.670172158,0.00683827,0.675601807,0.001845166,168.0076923,250.6933333,248.6785714
205530_at,electron-transferring-flavoprotein dehydrogenase,ETFDH,0.992817631,0.951059334,0.670274663,0.003845749,0.665460503,0.002523951,145.5076923,217.0866667,218.6571429
226763_at,hypothetical protein DKFZp434O0515,DKFZp434O0515,0.944824539,0.566103834,0.671939179,0.00096366,0.634864625,0.000191795,475.5,707.6533333,748.9785714
201810_s_at,SH3-domain binding protein 5 (BTK-associated),SH3BP5,0.845518436,0.114317699,0.671970791,0.007198233,0.568163693,1.51401E-05,454.4538462,676.3,799.8642857
212251_at,LYRIC/3D3,LYRIC,0.994839697,0.960911905,0.672953032,0.009177343,0.669480391,0.000270838,637.1923077,946.86,951.7714286
219751_at,hypothetical protein FLJ21148,FLJ21148,0.938924261,0.589281944,0.674768885,0.001589833,0.633556877,0.001712301,252.3230769,373.94,398.2642857
212539_at,chromodomain helicase DNA binding protein 1-like,CHD1L,1.021817199,0.818521452,0.674878812,0.001021076,0.689602778,0.001129969,309.7153846,458.92,449.1214286
219185_at,sirtuin (silent mating type information regulation 2 homolog) 5 (S. cerevisiae),SIRT5,0.83448834,0.036789478,0.677464506,0.003086501,0.565336231,2.45266E-05,128.0769231,189.0533333,226.55
213677_s_at,PMS1 postmeiotic segregation increased 1 (S. cerevisiae),PMS1,0.866411984,0.143572326,0.677840258,0.006233674,0.587288923,4.96353E-05,408.4846154,602.6266667,695.5428571
224581_s_at,"Homo sapiens cDNA clone IMAGE:3028427, partial cds",---,0.928027093,0.56548944,0.680000749,0.009524124,0.631059119,0.003206434,930.8076923,1368.833333,1474.992857
203396_at,"proteasome (prosome, macropain) subunit, alpha type, 4",PSMA4,0.773278138,0.023145601,0.680117316,0.000167858,0.525919851,4.38254E-05,1241.4,1825.273333,2360.435714
213927_at,"Homo sapiens cDNA FLJ41436 fis, clone BRHIP2007741",---,0.802084691,0.077625923,0.681159322,0.003795033,0.546347464,0.000101376,461.2538462,677.16,844.25
222140_s_at,putative G-protein coupled receptor,SH120,0.841269917,0.131350948,0.681747716,0.004740152,0.573533844,0.000161753,172.5230769,253.06,300.8071429
227796_at,Homo sapiens mRNA; cDNA DKFZp667F2013 (from clone DKFZp667F2013),---,0.858540933,0.152329877,0.682375199,0.001081319,0.58584704,0.000212402,325.5384615,477.0666667,555.6714286
202678_at,"general transcription factor IIA, 2, 12kDa",GTF2A2,0.989557116,0.924035614,0.682540636,0.000779278,0.675412943,0.001579815,145.6769231,213.4333333,215.6857143
221505_at,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",ANP32E,1.094796735,0.25830253,0.682740377,0.000677355,0.747461935,0.00053105,1031.561538,1510.913333,1380.085714
205672_at,"xeroderma pigmentosum, complementation group A",XPA,0.916133244,0.378109219,0.682996524,0.001435441,0.625715821,0.00031716,611.6461538,895.5333333,977.5142857
204808_s_at,transmembrane protein 5,TMEM5,1.04511079,0.664908714,0.684720184,0.004243684,0.715608452,0.002164066,311.2692308,454.5933333,434.9714286
223090_x_at,transmembrane protein vezatin,VEZATIN,0.945784291,0.46557989,0.685985699,0.000130302,0.648794498,3.14635E-05,416.1692308,606.6733333,641.45
223805_at,oxysterol binding protein-like 6,OSBPL6,1.086285507,0.362167985,0.686006756,0.003956515,0.745199197,0.001935544,776.3538462,1131.7,1041.807143
209450_at,O-sialoglycoprotein endopeptidase,OSGEP,0.81800757,0.187038549,0.686636838,0.006383824,0.561674132,0.005309186,116.2384615,169.2866667,206.95
203565_s_at,menage a trois 1 (CAK assembly factor),MNAT1,0.961370265,0.721303371,0.687675327,0.006452948,0.661110611,0.005278639,84.73076923,123.2133333,128.1642857
209669_s_at,PAI-1 mRNA-binding protein,PAI-RBP1,0.728362154,0.006339623,0.687682143,0.002722005,0.500881647,3.6232E-06,678.6230769,986.8266667,1354.857143
205335_s_at,signal recognition particle 19kDa,SRP19,0.934120858,0.461576246,0.687722021,0.005687143,0.642415484,0.000403905,658.0307692,956.8266667,1024.307143
213387_at,KIAA1240 protein,KIAA1240,0.826738836,0.072844082,0.688441561,0.000807719,0.569161375,6.91859E-05,90.13076923,130.92,158.3571429
205558_at,TNF receptor-associated factor 6,TRAF6,1.086318443,0.422963035,0.689406244,0.008925644,0.748914718,0.008953478,76.4,110.82,102.0142857
226919_at,hypothetical protein dJ122O8.2,DJ122O8.2,0.913668199,0.362326148,0.689673309,0.003911644,0.63013257,0.000151517,77.33076923,112.1266667,122.7214286
224990_at,Homo sapiens transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens],---,0.951923162,0.615765943,0.690354822,0.00773304,0.657164745,0.007328707,176.7538462,256.0333333,268.9642857
220143_x_at,LUC7-like (S. cerevisiae),LUC7L,0.659530049,0.047299356,0.690912381,0.005550565,0.455677476,0.004705788,319.1923077,461.9866667,700.4785714
202402_s_at,cysteinyl-tRNA synthetase,CARS,0.832633414,0.043629385,0.691262872,0.000823578,0.575568565,2.78128E-05,148.6076923,214.98,258.1928571
211382_s_at,"transforming, acidic coiled-coil containing protein 2",TACC2,0.820937067,0.039556196,0.691669314,0.000611095,0.567816977,1.47001E-05,115.0153846,166.2866667,202.5571429
225623_at,KIAA1737 protein,KIAA1737,0.982822046,0.881410864,0.692372129,0.008294469,0.680478592,0.00491567,247.9615385,358.1333333,364.3928571
201737_s_at,similar to S. cerevisiae SSM4,TEB4,1.013078208,0.910181012,0.69358665,0.005384432,0.70265752,0.009164891,1421.676923,2049.746667,2023.285714
213360_s_at,similar to Nuclear envelope pore membrane protein POM 121 (Pore membrane protein of 121 kDa) (P145),na,1.012180029,0.897730897,0.694085542,0.000204941,0.702539524,0.001436089,884.7230769,1274.66,1259.321429
223227_at,Bardet-Biedl syndrome 2,BBS2,0.905173344,0.305979324,0.696881951,0.006338479,0.630798966,6.50315E-05,603.7692308,866.3866667,957.15
225358_at,similar to RIKEN cDNA 1810055D05,LOC131118,0.98879817,0.901595969,0.697273909,0.001295835,0.689463165,0.006265654,238.2538462,341.6933333,345.5642857
227656_at,hypothetical protein FLJ11152,FLJ11152,0.962713272,0.686977429,0.703157668,0.002800295,0.67693922,0.000648874,147.4615385,209.7133333,217.8357143
212542_s_at,pleckstrin homology domain interacting protein,PHIP,0.940190458,0.522856262,0.707237417,0.002646428,0.664937871,0.000383569,394.3461538,557.5866667,593.0571429
235497_at,"Homo sapiens hypothetical protein LOC284591, mRNA (cDNA clone IMAGE:5313366), partial cds",---,0.911939912,0.288060987,0.709018616,0.006072404,0.646582374,0.000176179,392.3,553.3,606.7285714
215667_x_at,postmeiotic segregation increased 2-like 6,PMS2L6,0.972838394,0.78224745,0.712335549,0.003862588,0.692987371,0.004719179,197.7538462,277.6133333,285.3642857
204278_s_at,"estrogen receptor binding site associated, antigen, 9",EBAG9,0.749636854,0.077857729,0.714222511,0.003165003,0.535407516,0.003145961,149.0153846,208.64,278.3214286
233078_at,apoptosis inhibitor 5,API5,0.855311775,0.199437347,0.715192107,0.003456804,0.611712231,0.001301957,228.6230769,319.6666667,373.7428571
230178_s_at,signal transducer and activator of transcription 3 interacting protein 1,STATIP1,0.867475905,0.143580882,0.716104545,0.00808343,0.621203438,3.01681E-05,596.2,832.56,959.75
227611_at,hypothetical protein FLJ25005,FLJ25005,0.865679228,0.143003412,0.721555065,0.003202471,0.624635232,0.001002072,459.9769231,637.48,736.3928571
219004_s_at,chromosome 21 open reading frame 45,C21orf45,0.909371382,0.29416139,0.722967239,0.003902944,0.657445718,0.002266318,100.0538462,138.3933333,152.1857143
219362_at,Homo sapiens transcribed sequence with strong similarity to protein ref:NP_078911.1 (H.sapiens)  hypothetical protein FLJ22643 [Homo sapiens],---,0.949352566,0.548146686,0.725302835,0.007665752,0.688568108,0.004190877,107.7461538,148.5533333,156.4785714
218626_at,eukaryotic translation initiation factor 4E nuclear import factor 1,EIF4ENIF1,0.965867077,0.673912164,0.727956172,1.11641E-05,0.7031089,0.002358241,326.1923077,448.0933333,463.9285714
202305_s_at,fasciculation and elongation protein zeta 2 (zygin II),FEZ2,0.832235518,0.023914035,0.73006631,0.009074001,0.607587114,1.43119E-05,1066.315385,1460.573333,1755
200050_at,zinc finger protein 146,ZNF146,0.748652268,0.032187047,0.730884754,0.007397785,0.547178528,0.000149757,687.8307692,941.0933333,1257.05
222832_s_at,GL004 protein,GL004,1.071733142,0.453323958,0.734785811,0.006641687,0.787494307,0.001710524,172.9,235.3066667,219.5571429
209553_at,KIAA0804 protein,KIAA0804,0.988250319,0.91246891,0.735197214,0.005136907,0.726558882,0.007319532,265.4846154,361.1066667,365.4
207657_x_at,karyopherin (importin) beta 2,KPNB2,1.105711446,0.195870114,0.736084097,0.001650492,0.813896611,0.007682446,625.8923077,850.3,769.0071429
214703_s_at,mannosidase alpha class 2B member 2,KIAA0935,0.969919584,0.761745234,0.738486256,0.001900959,0.716272282,0.008681911,211.4384615,286.3133333,295.1928571
217940_s_at,hypothetical protein FLJ10769,FLJ10769,0.968685198,0.700662965,0.739288781,0.006411496,0.716138099,0.005970594,692.6692308,936.94,967.2285714
203597_s_at,WW domain binding protein 4 (formin binding protein 21),WBP4,0.780758501,0.063733341,0.740274674,0.009071822,0.577975745,0.000899798,383.2846154,517.76,663.15
208993_s_at,peptidyl-prolyl isomerase G (cyclophilin G),PPIG,0.751428837,0.023360037,0.741939569,0.003213099,0.557514788,0.00063352,669.9615385,902.9866667,1201.692857
220761_s_at,STE20-like kinase,JIK,0.92908948,0.466898383,0.756066097,0.008981455,0.702453057,0.008153354,923.6153846,1221.606667,1314.842857
203375_s_at,tripeptidyl peptidase II,TPP2,0.982536623,0.797929666,0.75669547,0.004272438,0.743481011,0.001184185,165.3076923,218.46,222.3428571
222708_s_at,hypothetical protein FLJ20651,FLJ20651,0.947823348,0.499968913,0.763320217,0.007595724,0.723492723,0.001106776,191.4,250.7466667,264.55
201098_at,"coatomer protein complex, subunit beta 2 (beta prime)",COPB2,0.947342447,0.561824366,0.766769864,0.008386388,0.726393639,0.001910915,228.4923077,297.9933333,314.5571429
204528_s_at,nucleosome assembly protein 1-like 1,NAP1L1,0.924453362,0.330409512,0.770706074,0.002527083,0.712481821,0.001527468,953.7230769,1237.466667,1338.592857
218312_s_at,hypothetical protein FLJ12895,FLJ12895,1.011025813,0.906397262,0.774063919,0.00625696,0.782598603,0.009066996,841.0307692,1086.513333,1074.664286
222266_at,chromosome 19 open reading frame 2,C19orf2,0.907207548,0.245260867,0.777685856,0.001212455,0.705522478,0.000317962,919.7846154,1182.72,1303.692857
36936_at,tissue specific transplantation antigen P35B,TSTA3,0.892010508,0.240556596,0.780838129,0.00761461,0.696515816,0.003898684,150.2384615,192.4066667,215.7
219128_at,hypothetical protein FLJ20558,FLJ20558,1.047686009,0.576900855,1.252037284,0.004705288,1.311741945,0.002038269,215.8846154,172.4266667,164.5785714
228920_at,hypothetical protein LOC339324,LOC339324,1.037492175,0.622231813,1.262206621,0.001717483,1.309529492,0.001354023,458.2230769,363.0333333,349.9142857
225443_at,"Homo sapiens cDNA: FLJ21691 fis, clone COL09555",---,1.043886298,0.572942107,1.26537501,0.003587879,1.320907635,0.002767029,408.7076923,322.9933333,309.4142857
227846_at,putative G protein coupled receptor,GPR,1.104566768,0.200195258,1.266802423,0.003100697,1.399267858,2.90444E-05,319.0230769,251.8333333,227.9928571
219573_at,leucine rich repeat containing 16,LRRC16,1.046610956,0.59409962,1.268318268,0.004733594,1.327435795,0.005066616,166.7923077,131.5066667,125.65
224722_at,ubiquitin ligase mind bomb,MIB,1.037204752,0.624460085,1.277918976,0.002150796,1.325463635,0.003333266,158.0615385,123.6866667,119.25
202294_at,"propionyl Coenzyme A carboxylase, beta polypeptide",PCCB,1.131596261,0.12436948,1.281953685,0.001826587,1.450653996,3.09524E-05,291.8923077,227.6933333,201.2142857
225123_at,sestrin 3,SESN3,1.11414792,0.069848427,1.285008683,0.009168303,1.431689751,0.000471676,766.8846154,596.7933333,535.65
206949_s_at,RUN and SH3 domain containing 1,RUSC1,1.261477886,0.012087835,1.289072477,0.009857524,1.626136424,9.01627E-05,1048.230769,813.1666667,644.6142857
201358_s_at,"coatomer protein complex, subunit beta",COPB,1.028884752,0.766158032,1.305926662,0.005954341,1.343648031,0.000184306,2433.576923,1863.486667,1811.171429
224591_at,HP1-BP74,HP1-BP74,0.97833532,0.784882493,1.307250348,0.009707471,1.278929188,0.005951951,5264.976923,4027.52,4116.707143
221090_s_at,hypothetical protein FLJ10826,FLJ10826,1.051651937,0.671150241,1.307601482,0.000834776,1.375141631,0.009235654,103.3615385,79.04666667,75.16428571
201814_at,"TBC1 domain family, member 5",TBC1D5,1.051092815,0.491784387,1.308479627,7.31269E-05,1.375333534,7.23271E-05,727.8461538,556.2533333,529.2142857
227762_at,"Homo sapiens transcribed sequence with strong similarity to protein pdb:1BGM (E. coli) O Chain O, Beta-Galactosidase (Chains I-P)",---,1.072531738,0.482433154,1.311327195,0.001750124,1.406440035,0.0008051,1494.292308,1139.526667,1062.464286
229786_at,RWD domain containing 2,RWDD2,1.142122487,0.21899298,1.314288863,0.006458406,1.501078865,0.000573829,214.0538462,162.8666667,142.6
226214_at,Homo sapiens clone 252 mRNA sequence,---,1.107353442,0.302959989,1.31441345,0.008613859,1.455520257,0.00036541,336.0692308,255.68,230.8928571
225185_at,muscle RAS oncogene homolog,MRAS,1.219036789,0.049830272,1.320413793,0.005124272,1.609632989,2.30075E-05,1415.430769,1071.96,879.35
229838_at,nucleobindin 2,NUCB2,1.031290323,0.774856883,1.321852217,0.009228099,1.3632134,0.00386336,169.0384615,127.88,124
